,Категория,Всё время: Все источники,Сутки: Все источники,Среднее в сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news
0,авто,432,,33,,,,,,,,,,,,,,,,,,,295.0,137.0
1,армия,2332,63.0,123,,,27.0,,,22.0,14.0,,,,,,1247.0,,,627.0,458.0,,,
2,бизнес,17025,153.0,709,8.0,,30.0,15.0,,21.0,58.0,,18.0,3.0,599.0,,2151.0,852.0,,932.0,2066.0,,6803.0,3622.0
3,жизнь,3829,91.0,191,,,48.0,43.0,,,,,,,,,2037.0,1792.0,,,,,,
4,за рубежом,19134,270.0,911,,,72.0,,,7.0,122.0,,69.0,,,,4818.0,,,499.0,2774.0,,11043.0,
5,история,732,17.0,43,,,17.0,,,,,,,,,,679.0,,,33.0,20.0,,,
6,ИТ,3489,39.0,166,18.0,,15.0,,,,,,6.0,,849.0,,784.0,54.0,,,,,1230.0,572.0
7,космос,66,2.0,4,,,,,,,2.0,,,,,,,,,,66.0,,,
8,культура,1749,25.0,87,,,4.0,5.0,,5.0,9.0,,2.0,,,,777.0,137.0,,102.0,272.0,,461.0,
9,наука,106,3.0,6,2.0,,,,,,1.0,,,,53.0,,,50.0,,,3.0,,,
10,новости,18197,315.0,827,,,18.0,12.0,253.0,,21.0,,11.0,,,,824.0,1447.0,11352.0,,1300.0,,3114.0,160.0
11,новые новости,7241,16.0,268,13.0,,,,,,2.0,1.0,,,404.0,,,,,3.0,29.0,6769.0,,36.0
12,образование,6,,2,,,,,,,,,,,6.0,,,,,,,,,
13,общество,13204,148.0,528,,,,29.0,,10.0,73.0,,33.0,3.0,,6.0,,1836.0,,564.0,2493.0,,3844.0,4461.0
14,политика,14239,196.0,593,,,,100.0,,47.0,27.0,,1.0,21.0,,,,3725.0,,1191.0,602.0,,1306.0,7415.0
15,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,
16,производство,40,,4,,,,,,,,,,,40.0,,,,,,,,,
17,развлечения,45,3.0,5,3.0,,,,,,,,,,45.0,,,,,,,,,
18,регионы,593,12.0,25,,,,,,,12.0,,,,1.0,154.0,63.0,,,,375.0,,,
19,россия,9165,142.0,482,,,97.0,30.0,,15.0,,,,,,,7546.0,1123.0,,496.0,,,,
20,спорт,3628,74.0,173,,,26.0,,,36.0,6.0,,6.0,,,,1287.0,188.0,,459.0,785.0,,909.0,
21,транспорт,3,,3,,,,,,,,,,,,,,,,,3.0,,,
22,туризм,785,17.0,41,,,17.0,,,,,,,,,,784.0,,,,1.0,,,
23,финансы,4,,1,,,,,,,,,,,4.0,,,,,,,,,
